Unnamed: 0,nct_id,downcase_mesh_term,official_title,brief_title,all_conditions,study_first_submitted_date,primary_completion_date,completion_date,enrollment,observational_model,intervention_model,time_perspective,study_type,overall_status,study_phases,funded_bys,sponsors_name,investigators,intervention_types,location,minimum_age_num,maximum_age_num,category_age,category,sub_category,URL
1625,NCT02398721,Thyroid Nodules,A Prospective Randomized Study on Health-related Quality of Life of Patients With Incidental Small (<2cm) Asymptomatic Thyroid Nodules and Cost-effectiveness Analysis in Managing Small Incidental Thyroid Nodules,Study on HRQOL and Cost-effectiveness Analysis in Management of Patients With <2cm Thyroid Nodules,Thyroid Nodules,2015-03-20,2017-07-31,2018-02-28,314.0,,Parallel Assignment,,Interventional,Completed,Not Applicable,The University of Hong Kong,The University of Hong Kong,Queen Mary Hospital,Other,Hong Kong,18.0,120.0,[18-65]|[65 and more],,,https://clinicaltrials.gov/ct2/show/NCT02398721
1627,NCT02399475,Subclinical Hypothyroidism,"The Thyroid Axis in Older Individuals With Persistent Subclinical Hypothyroidism: a Mechanistic, Randomized, Double-Blind, Cross-Over Study of Levothyroxine and Liothyronine Administration",Mechanistic Study of Subclinical Hypothyroidism In the Elderly,Subclinical Hypothyroidism,2015-02-03,2019-09-30,2019-09-30,14.0,,Crossover Assignment,,Interventional,Completed,Not Applicable,University of Pennsylvania,National Institute on Aging (NIA)|University of Pennsylvania,University of Pennsylvania,Drug|Drug|Drug,United States,70.0,120.0,[65 and more],,,https://clinicaltrials.gov/ct2/show/NCT02399475
1628,NCT02404441,Anaplastic Thyroid Cancer|Melanoma|Non-small Sell Lung Cancer (NSCLC)|Other Solid Tumors|Triple Negative Breast Cancer,Open Label Multicenter Phase I/II Study of the Safety and Efficacy of PDR001 Administered to Patients With Advanced Malignancies,Phase I/II Study of PDR001 in Patients With Advanced Malignancies,Anaplastic Thyroid Cancer|Melanoma|Non-small Sell Lung Cancer (NSCLC)|Other Solid Tumors|Triple Negative Breast Cancer,2015-03-20,2020-07-21,2020-07-21,319.0,,Single Group Assignment,,Interventional,Completed,Phase 1/Phase 2,Novartis,Novartis Pharmaceuticals,The Sidney Kimmel Cancer Center at Johns Hopkins Hospital Johns Hopkins|Massachusetts General Hospital|Oregon Health and Science University SC-10|Sarah Cannon Research Institute SCRI RC|University of Texas MD Anderson Cancer Center MD Anderson PSC|Huntsman Cancer Institute Univ. of Utah HCI|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site|Novartis Investigative Site,Biological,Canada|France|Germany|Hungary|Italy|Lebanon|Netherlands|Norway|Poland|Spain|Taiwan|Thailand|Turkey|United States,18.0,120.0,[18-65]|[65 and more],,,https://clinicaltrials.gov/ct2/show/NCT02404441
1630,NCT02408887,Endocrine Malignancy|Low-risk Papillary Thyroid Cancer|Thyroid Cancer,Randomized Controlled Trial of Total Thyroidectomy With and Without Prophylactic Central Neck Lymph Node Dissection in Patients With Low-risk Papillary Thyroid Cancer,Total Thyroidectomy With and Without Prophylactic Central Neck Lymph Node Dissection in People With Low-risk Papillary Thyroid Cancer,Endocrine Malignancy|Low-risk Papillary Thyroid Cancer|Thyroid Cancer,2015-04-03,2019-03-26,2019-05-07,14.0,,Parallel Assignment,,Interventional,Terminated,Phase 2,National Institutes of Health Clinical Center (CC),National Cancer Institute (NCI),"National Institutes of Health Clinical Center, 9000 Rockville Pike",Procedure|Procedure,United States,18.0,120.0,[18-65]|[65 and more],,,https://clinicaltrials.gov/ct2/show/NCT02408887
1632,NCT02410928,Thyroid Nodule,Comparison of the Vocal Cord Imaging Techniques After Thyroidectomy,Comparison of the Vocal Cord Imaging Techniques After Thyroidectomy,Thyroid Nodule,2015-02-14,2015-06-30,2015-07-31,75.0,,Parallel Assignment,,Interventional,Completed,Not Applicable,Diskapi Teaching and Research Hospital,Diskapi Teaching and Research Hospital,Diskapi Yildirim Beyazit Teaching and Research Hospital,Device|Device|Device,Turkey,19.0,70.0,[18-65]|[65 and more],,,https://clinicaltrials.gov/ct2/show/NCT02410928
1634,NCT02411461,Albright Hereditary Osteodystrophy|Pseudohypoparathyroidism,Early-onset Obesity and Cognitive Impairment in Children With Pseudohypoparathyroidism,Early-onset Obesity and Cognitive Impairment in Children With Pseudohypoparathyroidism,Albright Hereditary Osteodystrophy|Pseudohypoparathyroidism,2015-02-25,2017-01-31,2017-01-31,39.0,Case-Control,,Cross-Sectional,Observational,Completed,,Vanderbilt University Medical Center,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)|Vanderbilt University Medical Center,Vanderbilt University,,United States,6.0,18.0,[0-17]|[18-65],,,https://clinicaltrials.gov/ct2/show/NCT02411461
1636,NCT02412150,Thyroid Tumor,Effect of Dexmedetomidine Infusion for Postoperative Outcome and Smooth Emergence After Thyroidectomy,Effect of Dexmedetomidine After Thyroidectomy,Thyroid Tumor,2015-03-31,2020-11-21,2020-11-25,139.0,,Parallel Assignment,,Interventional,Completed,Not Applicable,Chosun University Hospital,Chosun University Hospital,Chosun University Hospital,Drug|Drug|Procedure|Other|Behavioral|Behavioral|Other|Behavioral|Other|Other|Other|Drug|Drug,"Korea, Republic of",20.0,60.0,[18-65],,,https://clinicaltrials.gov/ct2/show/NCT02412150
1637,NCT02417389,"Hyperparathyroidism, Primary|Osteoporosis",Efficacy of a Calcimimetic (Cinacalcet) in the Long Term Control of Patients With Primary Hyperparathyroidism,Efficacy of Cinacalcet in the Control of Primary Hyperparathyroidism,"Hyperparathyroidism, Primary|Osteoporosis",2015-04-08,2011-10-31,2012-12-31,22.0,,Single Group Assignment,,Interventional,Completed,Phase 4,Istituto Auxologico Italiano,Istituto Auxologico Italiano,Istituto Auxologico Italiano IRCCS,Drug|Drug,Italy,50.0,75.0,[18-65]|[65 and more],,,https://clinicaltrials.gov/ct2/show/NCT02417389
1640,NCT02418247,Thyroid Neoplasms,Phase Ⅱ Non-randomized Multicenter Controlled Trial About Effect of Remnant Ablation Therapy on the Recurrence in Low-risk Differentiated Thyroid Cancer Patients,Minimize Radioactive Iodine Ablation Of Remnant Thyroid in Differentiated Thyroid Cancer,Thyroid Neoplasms,2015-04-13,2017-12-31,2020-12-31,556.0,,Parallel Assignment,,Interventional,Unknown status,Phase 2/Phase 3,"National Cancer Center, Korea","National Cancer Center, Korea","Chungnam National University Hospital|National Cancer Center, Korea|Seoul National University Boramae Medical Center|Seoul National University Hospital|Seoul National University Bundang Hospital",Drug|Drug,"Korea, Republic of",18.0,79.0,[18-65]|[65 and more],,,https://clinicaltrials.gov/ct2/show/NCT02418247
1641,NCT02418390,"Thyroid Cancer, Papillary",The Efficacy and Safety of Prophylactic Central Lymph Node Dissection in Papillary Thyroid Carcinoma,The Efficacy and Safety of Prophylactic Central Lymph Node Dissection in Papillary Thyroid Carcinoma,"Thyroid Cancer, Papillary",2015-04-07,2022-02-28,2022-02-28,5750.0,,Parallel Assignment,,Interventional,Unknown status,Not Applicable,Seoul National University Hospital,Seoul National University Hospital,Seoul National University Hospital,Procedure,"Korea, Republic of",20.0,70.0,[18-65]|[65 and more],,,https://clinicaltrials.gov/ct2/show/NCT02418390
1643,NCT02422368,Thyroid Eye Disease,"The Effect of a New Antioxidant Combination (ASTED) on Moderate to Severe Thyroid Eye Disease, a Double Blind Placebo Controlled Randomized Clinical Trial",The Effect of a New Antioxidant Combination (ASTED) on Moderate to Severe Thyroid Eye Disease,Thyroid Eye Disease,2015-04-11,2024-06-30,2024-11-30,0.0,,Parallel Assignment,,Interventional,Withdrawn,Phase 2/Phase 3,Iran University of Medical Sciences,Iran University of Medical Sciences,Private Thyroid eye disease clinic|Rassoul Akram Hospital,Drug|Drug,"Iran, Islamic Republic of",18.0,70.0,[18-65]|[65 and more],,,https://clinicaltrials.gov/ct2/show/NCT02422368
1647,NCT02430584,DiGeorge Syndrome|Down Syndrome|Edwards Syndrome|Klinefelter Syndrome|Patau Syndrome|Perinatal Infections|Turner Syndrome,Whole Blood Specimen Collection From Pregnant Subjects,Whole Blood Specimen Collection From Pregnant Subjects,DiGeorge Syndrome|Down Syndrome|Edwards Syndrome|Klinefelter Syndrome|Patau Syndrome|Perinatal Infections|Turner Syndrome,2015-04-27,2021-03-31,2021-05-31,5000.0,Family-Based,,Prospective,Observational,Active not recruiting,,"Progenity, Inc.","Progenity, Inc.",Regional Obstetrical Consultants,Other,United States,18.0,120.0,[18-65]|[65 and more],,,https://clinicaltrials.gov/ct2/show/NCT02430584
1649,NCT02430714,Thyroid Neoplasms,Post-marketing Surveillance of Lenvatinib Mesylate (Lenvima Capsule) in Patients With Unresectable Thyroid Cancer (Study LEN01T),Post-marketing Surveillance of Lenvatinib Mesylate (Lenvima Capsule) in Patients With Unresectable Thyroid Cancer (Study LEN01T),Thyroid Neoplasms,2015-04-27,2016-11-06,2016-11-06,629.0,Other,,Prospective,Observational,Completed,,Eisai Inc.,"Eisai Co., Ltd.",,Drug,Japan,0.0,120.0,[0-17]|[18-65]|[65 and more],,,https://clinicaltrials.gov/ct2/show/NCT02430714
1650,NCT02430857,Latent Hypothyroidism,Osteopathy and Latent Hypothyroidism: Effectiveness of Osteopathic Treatment on TSH in Patients With Latent Hypothyroidism,Osteopathy and Latent Hypothyroidism,Latent Hypothyroidism,2015-04-27,2015-10-31,2016-01-31,40.0,,Parallel Assignment,,Interventional,Unknown status,Not Applicable,"Diekmann, Emanuel Amier",Emanuel Amier Diekmann,,Other,,18.0,65.0,[18-65]|[65 and more],,,https://clinicaltrials.gov/ct2/show/NCT02430857
1651,NCT02432274,Differentiated Thyroid Cancer (DTC)|Osteosarcoma|Solid Malignant Tumors|Tumors,Phase 1/2 Study of Lenvatinib in Children and Adolescents With Refractory or Relapsed Solid Malignancies and Young Adults With Osteosarcoma,Study of Lenvatinib in Children and Adolescents With Refractory or Relapsed Solid Malignancies and Young Adults With Osteosarcoma,Differentiated Thyroid Cancer (DTC)|Osteosarcoma|Solid Malignant Tumors|Tumors,2015-04-22,2019-07-18,2022-03-31,117.0,,Parallel Assignment,,Interventional,Active not recruiting,Phase 1/Phase 2,Eisai Inc.,Eisai Limited|Merck Sharp & Dohme LLC,Texas Children's Hospital|CHU Strasbourg - Hopital Hautepierre|Centre Oscar Lambret Lille|Centre Leon Berard|CHU Nantes - Hopital Mere-Enfant|Institut Curie - Centre de Lutte Contre le Cancer (CLCC) de Paris|Institut Gustave Roussy|CHU de Toulouse - Hopital des Enfants|Universitaetsklinikum Muenster|Kinderklinik des Olga hospitals|Istituto Ortopedico Rizzoli|Fondazione IRCCS Istituto Nazionale dei Tumori|Ospedale Pediatrico Bambino Gesu|Hospital Universitari Vall d'Hebron|Hospital Infantil Universitario Nino Jesus|Hospital Universitario y Politecnico La Fe Hospital La Fe Valencia|Birmingham Children's Hospital|University College London Hospital|Royal Victoria Infirmary,Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug,France|Germany|Italy|Spain|United Kingdom|United States,2.0,25.0,[0-17]|[18-65],,,https://clinicaltrials.gov/ct2/show/NCT02432274
1652,NCT02432599,Hyperparathyroidism,Interest of the F18-choline as a Second Line of the Tracer for Detection of Parathyroid Adenomas,Interest of the F18-choline as a Second Line of the Tracer for Detection of Parathyroid Adenomas,Hyperparathyroidism,2015-04-29,2017-02-28,2017-02-28,28.0,,Single Group Assignment,,Interventional,Completed,Phase 2,Centre Francois Baclesse,Centre Francois Baclesse,CHU|Centre François Baclesse,Radiation,France,18.0,120.0,[18-65]|[65 and more],,,https://clinicaltrials.gov/ct2/show/NCT02432599
1655,NCT02440581,"Kidney Failure, Chronic",Renal Osteodystrophy: A Fresh Approach,Renal Osteodystrophy: An Individual Management Approach,"Kidney Failure, Chronic",2015-05-07,2023-06-30,2023-06-30,120.0,,Parallel Assignment,,Interventional,Active not recruiting,Not Applicable,University of Kentucky,"Hartmut Malluche, MD|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)|Wright State University",University of Kentucky,Drug|Drug|Drug,United States,21.0,120.0,[18-65]|[65 and more],,,https://clinicaltrials.gov/ct2/show/NCT02440581
1658,NCT02442661,Papillary Thyroid Cancer,Clinical Validation of a Predictive Model for the Presence of Cervical Lymph Node Metastasis in Papillary Thyroid Cancer,Clinical Validation of a Predictive Model for the Presence of Cervical Lymph Node Metastasis in Papillary Thyroid Cancer,Papillary Thyroid Cancer,2015-04-22,2016-12-31,2017-05-31,103.0,Other,,Prospective,Observational,Completed,,"University of Colorado, Denver","University of Colorado, Denver",Rebecca J Guigli,,United States,18.0,120.0,[18-65]|[65 and more],,,https://clinicaltrials.gov/ct2/show/NCT02442661
1660,NCT02452073,The Clinical Incidence of Low Triiodothyronine Syndrome,,An Analysis of the Relative Risk for Low Triiodothyronine Syndrome in Patients With Chronic Radiation Enteritis,The Clinical Incidence of Low Triiodothyronine Syndrome,2015-05-15,2015-01-31,2015-04-30,48.0,Cohort,,Retrospective,Observational,Completed,,"Jinling Hospital, China",Shengxian Fan,,Other,,0.0,120.0,[0-17]|[18-65]|[65 and more],,,https://clinicaltrials.gov/ct2/show/NCT02452073
1661,NCT02456701,Thyroid Cancer,"Enhancing Radioiodine (RAI) Incorporation Into BRAF Mutant, RAI Refractory Thyroid Cancers With the Combination of BRAF Inhibitor Vemurafenib and Anti-ErbB3 Antibody KTN3379: A Pilot Study With a Phase 1 Run-in",Enhancing Radioiodine Incorporation Into BRAF Mutant Thyroid Cancers With the Combination of Vemurafenib and KTN3379,Thyroid Cancer,2015-05-20,2016-10-13,2016-10-13,7.0,,Single Group Assignment,,Interventional,Completed,Phase 1,Celldex Therapeutics,Celldex Therapeutics|Memorial Sloan Kettering Cancer Center,Memorial Sloan-Kettering Cancer Center,Biological|Drug,United States,18.0,120.0,[18-65]|[65 and more],,,https://clinicaltrials.gov/ct2/show/NCT02456701
1662,NCT02460328,22q11.2 Deletion Syndrome|Immune Defect,Resolution of Primary Immune Defect in 22q11.2 Deletion Syndrome,Resolution of Primary Immune Defect in 22q11.2 Deletion Syndrome,22q11.2 Deletion Syndrome|Immune Defect,2015-04-10,2016-02-29,2016-02-29,43.0,Case-Only,,,Observational,Completed,,Mahidol University,Mahidol University,Siriraj Hospital,,Thailand,0.0,15.0,[0-17],,,https://clinicaltrials.gov/ct2/show/NCT02460328
1664,NCT02462512,Elastography|Thyroid Nodule,Validation of Diagnostic Performance of Ultrasound Elastography for Detection of Thyroid Cancer,Diagnostic Performance of Ultrasound Elastography for Detection of Thyroid Cancer,Elastography|Thyroid Nodule,2015-04-20,2016-03-31,2017-08-31,590.0,Cohort,,Prospective,Observational,Unknown status,,Seoul St. Mary's Hospital,Dong Jun Lim,Seoul St Mary's Hospital,,"Korea, Republic of",18.0,120.0,[18-65]|[65 and more],,,https://clinicaltrials.gov/ct2/show/NCT02462512
1666,NCT02463409,Albright Hereditary Osteodystrophy|Pseudohypoparathyroidism Type 1a,Effects of Theophylline on cAMP Signaling in Children With Pseudohypoparathyroidism Type 1a,Theophylline as a Treatment for Children With Pseudohypoparathyroidism Type 1a (Albright Hereditary Osteodystrophy),Albright Hereditary Osteodystrophy|Pseudohypoparathyroidism Type 1a,2015-05-20,2016-10-31,2016-10-31,6.0,,Single Group Assignment,,Interventional,Completed,Phase 2,Vanderbilt University Medical Center,Massachusetts General Hospital|Vanderbilt University Medical Center,Vanderbilt Unversity,Drug,United States,10.0,21.0,[0-17]|[18-65],,,https://clinicaltrials.gov/ct2/show/NCT02463409
1668,NCT02464072,"Hyperparathyroidism, Secondary",Randomized Clinical Trial of Subtotal Parathyroidectomy or Total Parathyroidectomy With Immediate Heterotopic Autograft in Chronic Renal Disease Patients Stage V Under Dialysis,Subtotal Parathyroidectomy or Total Parathyroidectomy With Autograft in Chronic Kidney Disease Patients Under Dialysis,"Hyperparathyroidism, Secondary",2015-05-18,2021-03-31,2021-03-31,133.0,,Parallel Assignment,,Interventional,Unknown status,Not Applicable,University of Sao Paulo General Hospital,University of Sao Paulo General Hospital,University of Sao Paulo General Hospital,Procedure|Procedure|Procedure,Brazil,0.0,120.0,[0-17]|[18-65]|[65 and more],,,https://clinicaltrials.gov/ct2/show/NCT02464072
