,PMID,Publication_type
14167,32729049,journal article
14168,32729049,review
14169,34027879,journal article
14170,32826306,case reports
14171,32826306,journal article
14172,32826306,"research support, non-u.s. gov't"
14173,34112358,journal article
14174,34039175,journal article
14175,34867996,journal article
14176,34867996,"research support, non-u.s. gov't"
14177,34867996,review
14178,33484076,journal article
14179,33484076,review
14180,32326785,journal article
14181,32663624,journal article
14182,32663624,review
14183,33387353,historical article
14184,33387353,journal article
14185,32200809,comment
14186,32200809,editorial
14187,34647991,journal article
14188,34647991,review
14189,34680964,journal article
14190,34680964,"research support, non-u.s. gov't"
14191,33630245,letter
14192,34362755,case reports
14193,34362755,journal article
14194,34313966,case reports
14195,34313966,journal article
14196,34297498,journal article
14197,34076524,journal article
14198,33011882,journal article
14199,33011882,"research support, non-u.s. gov't"
14200,31904672,comment
14201,31904672,letter
14202,32157662,letter
14203,34619658,comment
14204,34619658,journal article
14205,32880074,journal article
14206,32880074,review
14207,32169148,journal article
14208,33743532,journal article
14209,33721204,journal article
14210,33389596,journal article
14211,32033825,letter
14212,32033825,observational study
14213,34909893,journal article
14214,34029917,journal article
14215,33619715,journal article
14216,34766495,letter
14217,31904673,comment
14218,31904673,letter
14219,32402171,comment
14220,32402171,letter
14221,32402170,comment
14222,32402170,letter
14223,34410066,journal article
14224,33506447,journal article
14225,32571507,journal article
14226,32571507,review
14227,32919997,letter
14228,34033289,journal article
14229,34033289,review
14230,34033289,systematic review
14231,32969625,journal article
14232,35004341,journal article
14233,35004341,"research support, non-u.s. gov't"
14234,35004341,review
14235,33449383,journal article
14236,33449383,"research support, non-u.s. gov't"
14237,34026662,journal article
14238,34026662,"research support, non-u.s. gov't"
14239,34182968,journal article
14240,34855196,journal article
14241,30927742,case reports
14242,30927742,journal article
14243,33445994,journal article
14244,32709765,editorial
14245,33515213,journal article
14246,31919775,journal article
14247,31919775,review
14248,32893226,case reports
14249,32893226,journal article
14250,34346645,case reports
14251,34346645,journal article
14252,33743526,journal article
14253,33487459,case reports
14254,33487459,journal article
14255,34965078,journal article
14256,32555993,journal article
14257,33782324,journal article
14258,33586393,journal article
14259,33586393,"research support, non-u.s. gov't"
14260,32931761,case reports
14261,32931761,journal article
14262,34969797,case reports
14263,34969797,journal article
14264,34118212,case reports
14265,33112798,journal article
14266,33112798,"research support, non-u.s. gov't"
14267,34745661,journal article
14268,32638234,case reports
14269,32638234,journal article
14270,32638234,review
14271,32875525,case reports
14272,32875525,historical article
14273,32875525,journal article
14274,33946094,case reports
14275,33946094,journal article
14276,33462034,case reports
14277,33462034,journal article
14278,33685911,case reports
14279,33685911,journal article
14280,33270090,case reports
14281,33444592,case reports
14282,33749695,case reports
14283,33749695,journal article
14284,34061770,journal article
14285,34061770,systematic review
14286,33587422,journal article
14287,34214461,case reports
14288,32111974,comment
14289,32111974,news
14290,32765422,journal article
14291,32765422,"research support, non-u.s. gov't"
14292,32765422,review
14293,33557156,journal article
14294,33557156,review
14295,33661574,journal article
14296,33661574,review
14297,33899194,journal article
14298,34592165,comment
14299,34592165,journal article
14300,34303550,journal article
14301,34303550,review
14302,34753719,case reports
14303,34753719,journal article
14304,32976335,case reports
14305,32976335,journal article
14306,34725062,case reports
14307,34725062,journal article
14308,32441005,journal article
14309,32441005,review
14310,34961921,journal article
14311,34961921,meta-analysis
14312,34961921,"research support, non-u.s. gov't"
14313,34961921,review
14314,33789121,journal article
14315,33789121,review
14316,32157663,historical article
14317,32157663,journal article
14318,34806691,case reports
14319,34806691,journal article
14320,33278144,journal article
14321,33278144,"research support, n.i.h., extramural"
14322,33278144,"research support, non-u.s. gov't"
14323,33278144,review
14324,31261164,journal article
14325,31948703,journal article
14326,33420947,case reports
14327,33420947,journal article
14328,33047905,editorial
14329,34985107,journal article
14330,34114197,historical article
14331,34114197,letter
14332,33743524,journal article
14333,32910410,journal article
14334,33146099,journal article
14335,33569041,systematic review
14336,32173798,journal article
14337,33367675,comment
14338,33367675,journal article
14339,34274914,journal article
14340,34274914,"research support, non-u.s. gov't"
14341,34227705,case reports
14342,34227705,journal article
14343,34969799,case reports
14344,34969799,journal article
14345,32709790,comment
14346,32709790,journal article
14347,32709789,comment
14348,32709789,journal article
14349,32709795,comment
14350,32709795,journal article
14351,32477269,journal article
14352,32477269,"research support, non-u.s. gov't"
14353,32797478,case reports
14354,32797478,journal article
14355,33431523,case reports
14356,33431523,journal article
14357,33988300,journal article
14358,33988300,"research support, non-u.s. gov't"
14359,32199035,journal article
14360,31373985,journal article
14361,31373985,multicenter study
14362,33710035,journal article
14363,33710035,"research support, n.i.h., extramural"
14364,33710035,"research support, non-u.s. gov't"
14365,33597052,journal article
14366,33597052,"research support, non-u.s. gov't"
14367,33934566,journal article
14368,33934566,"research support, non-u.s. gov't"
14369,33367747,journal article
14370,33367747,"research support, non-u.s. gov't"
14371,33914707,journal article
14372,33914707,"research support, n.i.h., extramural"
14373,33914707,"research support, non-u.s. gov't"
14374,32709793,comment
14375,32709793,journal article
14376,34192497,journal article
14377,33914772,journal article
14378,33688954,journal article
14379,33688954,observational study
14380,33509724,case reports
14381,33579884,journal article
14382,34619659,comment
14383,34619659,letter
14384,33283314,journal article
14385,33283314,review
14386,32847459,journal article
14387,34560868,journal article
14388,34224544,journal article
14389,33863564,journal article
14390,33863564,randomized controlled trial
14391,33994519,journal article
14392,34753152,journal article
14393,32553518,comparative study
14394,32553518,journal article
14395,32553518,"research support, n.i.h., extramural"
14396,32968816,journal article
14397,32968816,"research support, n.i.h., extramural"
14398,32968816,"research support, non-u.s. gov't"
14399,33530368,journal article
14400,33530368,"research support, non-u.s. gov't"
14401,33532627,journal article
14402,33532627,"research support, non-u.s. gov't"
14403,33532627,review
14404,34806437,journal article
14405,34806437,"research support, non-u.s. gov't"
14406,32709792,journal article
14407,32130689,case reports
14408,32130689,letter
14409,33380646,case reports
14410,33380646,journal article
14411,33380646,systematic review
14412,34533016,journal article
14413,32691849,journal article
14414,32691849,meta-analysis
14415,32691849,review
14416,32691849,systematic review
14417,33617351,clinical trial
14418,33617351,journal article
14419,33617351,validation study
14420,33146848,journal article
14421,34774035,journal article
14422,33658136,journal article
14423,33593429,journal article
14424,33593429,"research support, non-u.s. gov't"
14425,33593429,video-audio media
14426,33675208,case reports
14427,31567783,journal article
14428,31567783,systematic review
14429,32034469,journal article
14430,34497059,case reports
14431,34497059,journal article
14432,32924380,journal article
14433,34647611,journal article
14434,34518175,case reports
14435,34518175,journal article
14436,34382138,case reports
14437,34382138,journal article
14438,34725068,case reports
14439,34725068,journal article
14440,32427725,case reports
14441,32427725,journal article
14442,34448404,case reports
14443,34448404,journal article
14444,34448404,review
14445,33779950,journal article
14446,32727336,controlled clinical trial
14447,32727336,journal article
14448,32705333,journal article
14449,32046610,comment
14450,32046610,journal article
14451,33481211,journal article
14452,33060509,journal article
14453,33169897,journal article
14454,33926416,journal article
14455,32893651,case reports
14456,32893651,journal article
14457,32203974,case reports
14458,32203974,letter
14459,33446721,clinical trial
14460,33446721,journal article
14461,33446721,"research support, non-u.s. gov't"
14462,33563685,case reports
14463,33563685,journal article
14464,33966669,journal article
14465,33966669,"research support, non-u.s. gov't"
14466,32875953,journal article
14467,33914484,comparative study
14468,33914484,journal article
14469,33914484,"research support, non-u.s. gov't"
14470,33513181,journal article
14471,33513181,"research support, non-u.s. gov't"
14472,33513181,systematic review
14473,32705522,journal article
14474,34941195,case reports
14475,34941195,journal article
14476,34269764,case reports
14477,34269764,journal article
14478,33106982,journal article
14479,33106982,review
14480,33177482,case reports
14481,33177482,journal article
14482,34418335,journal article
14483,34194397,journal article
14484,34689799,journal article
14485,34521015,journal article
14486,34448415,journal article
14487,34893568,journal article
14488,33128357,journal article
14489,34019179,journal article
14490,32362545,journal article
14491,34782518,case reports
14492,34782518,review
14493,32379206,comment
14494,32379206,journal article
14495,33193994,journal article
14496,33619717,journal article
14497,34560890,case reports
14498,34560890,journal article
14499,34776504,journal article
14500,34776504,"research support, non-u.s. gov't"
14501,33474918,journal article
14502,33207860,journal article
14503,33237667,journal article
14504,33345558,journal article
14505,34331946,journal article
14506,32449092,comparative study
14507,32449092,journal article
14508,33791385,journal article
14509,33791385,randomized controlled trial
14510,32057544,journal article
14511,34552563,journal article
14512,34552563,"research support, non-u.s. gov't"
14513,33528651,journal article
14514,33157557,journal article
14515,32847889,case reports
14516,32847889,journal article
14517,33346898,journal article
14518,33346898,meta-analysis
14519,31980413,journal article
14520,31980413,"research support, non-u.s. gov't"
14521,34004099,journal article
14522,34004099,"research support, non-u.s. gov't"
14523,32999109,journal article
14524,34630829,case reports
14525,33026541,journal article
14526,34563225,journal article
14527,31982255,case reports
14528,31982255,journal article
14529,35506803,case reports
14530,35506803,journal article
14531,33317853,case reports
14532,33317853,letter
14533,34256242,journal article
14534,34823306,journal article
14535,34823306,multicenter study
14536,34164724,journal article
14537,34164724,observational study
14538,33728674,comparative study
14539,33728674,journal article
14540,34090378,case reports
14541,34090378,journal article
14542,34090378,review
14543,32527309,case reports
14544,32527309,journal article
14545,33317492,case reports
14546,33317492,journal article
14547,33317492,review
14548,34300095,journal article
14549,34300095,"research support, non-u.s. gov't"
14550,34938274,journal article
14551,34938274,"research support, non-u.s. gov't"
14552,34260410,journal article
14553,32805706,case reports
14554,32805706,journal article
14555,32279181,historical article
14556,32279181,journal article
14557,34033290,journal article
14558,33544540,journal article
14559,34252869,journal article
14560,32306294,comment
14561,32306294,journal article
14562,32798996,journal article
14563,32166667,journal article
14564,31971949,journal article
14565,33860431,journal article
14566,33860431,multicenter study
14567,32734611,journal article
14568,34381549,journal article
14569,34120661,journal article
14570,33993334,journal article
14571,32524368,journal article
14572,32524368,multicenter study
14573,32524368,observational study
14574,32461446,journal article
14575,33439464,journal article
14576,31910731,journal article
14577,34659126,journal article
14578,34659126,"research support, non-u.s. gov't"
14579,31927747,journal article
14580,32595602,journal article
14581,32595602,"research support, non-u.s. gov't"
14582,34266819,case reports
14583,34266819,journal article
14584,33136026,journal article
14585,33136026,systematic review
14586,32634841,journal article
14587,32527127,journal article
14588,33023116,journal article
14589,32709788,journal article
14590,32218623,journal article
14591,33947272,journal article
14592,32358735,journal article
14593,32975031,journal article
14594,32173759,journal article
14595,32173759,"research support, non-u.s. gov't"
14596,32329865,comparative study
14597,32329865,journal article
14598,32329865,"research support, non-u.s. gov't"
14599,32602151,journal article
14600,34278816,case reports
14601,34278816,journal article
14602,34278816,"research support, non-u.s. gov't"
14603,33080613,case reports
14604,32944926,journal article
14605,34028325,journal article
14606,34028325,systematic review
14607,32037571,case reports
14608,32037571,journal article
14609,33351329,journal article
14610,32188795,clinical trial
14611,32188795,journal article
14612,32384426,"clinical trial, phase 1"
14613,32384426,"clinical trial, phase 2"
14614,32384426,journal article
14615,32384426,randomized controlled trial
14616,32451608,journal article
14617,32316214,journal article
14618,34741002,case reports
14619,34741002,journal article
14620,33525304,case reports
14621,33525304,journal article
14622,32447948,case reports
14623,32447948,journal article
14624,32447948,video-audio media
14625,32961564,journal article
14626,32961564,meta-analysis
14627,32487052,journal article
14628,33832074,case reports
14629,33832074,journal article
14630,32532690,case reports
14631,32532690,journal article
14632,32087324,case reports
14633,32087324,journal article
14634,32245343,journal article
14635,32245343,"research support, non-u.s. gov't"
14636,32504380,journal article
14637,32504380,"research support, non-u.s. gov't"
14638,32020533,journal article
14639,31948188,journal article
14640,32333320,journal article
14641,32139177,journal article
14642,32139177,meta-analysis
14643,32139177,"research support, non-u.s. gov't"
14644,32139177,systematic review
14645,32253727,journal article
14646,31973681,journal article
14647,31973681,"research support, non-u.s. gov't"
14648,32758269,case reports
14649,32758269,journal article
14650,32640447,journal article
14651,32640447,observational study
14652,33211758,journal article
14653,33211758,"research support, non-u.s. gov't"
14654,32077044,case reports
14655,32077044,letter
14656,32474767,journal article
14657,32474767,multicenter study
14658,32658864,journal article
14659,32273492,case reports
14660,32273492,journal article
14661,32174327,journal article
14662,32593739,comparative study
14663,32593739,journal article
14664,32847555,case reports
14665,32847555,journal article
14666,32666542,case reports
14667,32666542,journal article
14668,32709791,journal article
14669,31465286,journal article
14670,33346473,journal article
14671,33038927,case reports
14672,33038927,journal article
14673,32789681,journal article
14674,32242748,comparative study
14675,32242748,journal article
14676,31895759,journal article
14677,32154572,journal article
14678,32154572,multicenter study
14679,33256801,case reports
14680,33256801,journal article
14681,32499464,journal article
14682,32687109,case reports
14683,32687109,journal article
14684,32295532,case reports
14685,32295532,journal article
14686,34916318,journal article
14687,34916318,"research support, non-u.s. gov't"
14688,32433165,journal article
14689,32433165,randomized controlled trial
14690,35345171,journal article
14691,34726857,journal article
14692,33860819,journal article
14693,33517799,comparative study
14694,33517799,journal article
14695,33517799,multicenter study
14696,33109498,case reports
14697,33109498,journal article
14698,33109498,review
14699,32379213,comment
14700,32379213,journal article
14701,32379212,comment
14702,32379212,journal article
14703,34556309,case reports
14704,34556309,journal article
14705,33797646,journal article
14706,33049131,journal article
14707,32844239,journal article
14708,32844239,observational study
14709,32618828,journal article
14710,31237218,journal article
14711,34531272,case reports
14712,34531272,journal article
14713,34531272,review
14714,32402172,comment
14715,32402172,letter
14716,34449459,journal article
14717,34550248,letter
14718,33247453,journal article
14719,33247453,review
14720,34681884,journal article
14721,32057773,journal article
14722,32057773,"research support, non-u.s. gov't"
14723,34269815,journal article
14724,34269815,"research support, n.i.h., extramural"
14725,34269815,"research support, non-u.s. gov't"
14726,33865501,journal article
14727,33865501,multicenter study
14728,33865501,randomized controlled trial
14729,33865501,"research support, non-u.s. gov't"
14730,33676921,journal article
14731,33367784,journal article
14732,33367784,"research support, non-u.s. gov't"
14733,32506060,journal article
14734,32506060,"research support, non-u.s. gov't"
14735,32702305,letter
14736,34185860,case reports
14737,34185860,journal article
14738,34033291,journal article
14739,35008579,journal article
14740,32379207,comment
14741,32379207,journal article
14742,32333267,journal article
14743,32094085,case reports
14744,32094085,letter
14745,34484118,journal article
14746,34484118,"research support, non-u.s. gov't"
14747,34078122,journal article
14748,34078122,"research support, non-u.s. gov't"
14749,32529279,journal article
14750,33845801,journal article
14751,33743533,journal article
14752,32854466,journal article
14753,32709794,journal article
14754,32709794,observational study
14755,31804961,case reports
14756,34647609,journal article
14757,34647609,review
14758,33400175,journal article
14759,32737644,journal article
14760,34144327,journal article
14761,34144327,"research support, non-u.s. gov't"
14762,32088116,journal article
14763,32088116,"research support, n.i.h., extramural"
14764,32088116,"research support, non-u.s. gov't"
14765,32088116,review
14766,33086191,journal article
14767,33086191,"research support, non-u.s. gov't"
14768,31345156,journal article
14769,34855199,journal article
14770,32474766,journal article
14771,32474766,meta-analysis
14772,34147078,journal article
14773,33852655,journal article
14774,33852655,randomized controlled trial
14775,33852655,"research support, non-u.s. gov't"
14776,33268601,case reports
14777,33268601,journal article
14778,33206764,journal article
14779,32588167,journal article
14780,32306295,historical article
14781,32306295,journal article
14782,31953667,journal article
14783,31743285,journal article
14784,31568022,journal article
14785,34156783,journal article
14786,33431733,journal article
14787,32727578,journal article
14788,34273482,journal article
14789,33943012,journal article
14790,33943012,"research support, non-u.s. gov't"
14791,32810095,journal article
14792,32122259,comment
14793,32122259,journal article
14794,34867823,journal article
14795,34867823,meta-analysis
14796,34867823,"research support, non-u.s. gov't"
14797,34867823,systematic review
14798,33329408,journal article
14799,33329408,"research support, non-u.s. gov't"
14800,33329408,review
14801,34628889,journal article
14802,34628889,randomized controlled trial
14803,32122631,journal article
14804,31789723,journal article
14805,31789723,review
14806,33941360,journal article
14807,33941360,multicenter study
14808,33832456,journal article
14809,32370469,case reports
14810,32370469,journal article
14811,35285441,journal article
14812,35285441,review
14813,34844465,journal article
14814,31805011,clinical trial
14815,31805011,journal article
14816,31805011,multicenter study
14817,31805011,"research support, non-u.s. gov't"
14818,33618407,journal article
14819,34297684,historical article
14820,34297684,journal article
14821,34297684,practice guideline
14822,33465046,journal article
14823,33465046,observational study
14824,32498091,journal article
14825,32498091,"research support, non-u.s. gov't"
14826,33568133,journal article
14827,33568133,"research support, non-u.s. gov't"
14828,32858017,case reports
14829,32858017,letter
14830,32845332,journal article
14831,32845332,"research support, non-u.s. gov't"
14832,32845332,review
14833,33858208,case reports
14834,33673340,journal article
14835,33673340,review
14836,32126013,journal article
14837,34274162,letter
14838,33743530,journal article
14839,32515628,journal article
14840,32515628,observational study
14841,32330992,case reports
14842,32330992,journal article
14843,32555130,journal article
14844,33855963,case reports
14845,33855963,journal article
14846,33613458,editorial
14847,33471662,journal article
14848,32930505,comparative study
14849,32930505,journal article
14850,34020391,journal article
14851,34020391,review
14852,34882370,journal article
14853,34243868,journal article
14854,34243868,review
14855,32785898,journal article
14856,32785898,"research support, non-u.s. gov't"
14857,34684053,case reports
14858,33010933,journal article
14859,32741892,journal article
14860,32089246,case reports
14861,32089246,journal article
14862,32869244,journal article
14863,34742692,journal article
14864,34742692,"research support, n.i.h., extramural"
14865,34742692,"research support, non-u.s. gov't"
14866,34742692,review
14867,33371640,journal article
14868,32507991,journal article
14869,32636230,case reports
14870,32636230,journal article
14871,33369370,journal article
14872,32614072,letter
14873,32472423,journal article
14874,34743464,journal article
14875,34130982,case reports
14876,34130982,journal article
14877,33237668,journal article
14878,33237668,"research support, non-u.s. gov't"
14879,33094730,case reports
14880,33094730,journal article
14881,33094730,review
14882,34037961,journal article
14883,33743536,journal article
14884,33743529,journal article
14885,34202024,journal article
14886,33844165,journal article
14887,33484567,journal article
14888,33484567,"research support, non-u.s. gov't"
14889,33246456,case reports
14890,33246456,journal article
14891,32112702,case reports
14892,32112702,journal article
14893,32112702,review
14894,34725405,journal article
14895,34725405,"research support, non-u.s. gov't"
14896,32590739,journal article
14897,33514849,journal article
14898,33514849,"research support, non-u.s. gov't"
14899,32991886,journal article
14900,32991886,"research support, non-u.s. gov't"
14901,32340849,journal article
14902,32293702,case reports
14903,32293702,journal article
14904,32564766,journal article
14905,32564766,meta-analysis
14906,32564766,systematic review
14907,32963330,journal article
14908,32963330,meta-analysis
14909,34248849,journal article
14910,34248849,"research support, non-u.s. gov't"
14911,32405700,journal article
14912,32405700,multicenter study
14913,32405700,observational study
14914,31913301,journal article
14915,34616359,journal article
14916,34616359,"research support, non-u.s. gov't"
14917,34130234,journal article
14918,33953374,comment
14919,33953374,journal article
14920,34546326,journal article
14921,34546326,"research support, non-u.s. gov't"
14922,34328251,journal article
14923,33746907,journal article
14924,33746907,multicenter study
14925,33658982,journal article
14926,33658982,"research support, non-u.s. gov't"
14927,33560351,journal article
14928,33560351,"research support, non-u.s. gov't"
14929,31927748,controlled clinical trial
14930,31927748,journal article
14931,34358537,journal article
14932,34358537,"research support, u.s. gov't, non-p.h.s."
14933,33786753,historical article
14934,33786753,journal article
14935,33482041,journal article
14936,32767605,journal article
14937,32107993,journal article
14938,34281356,journal article
14939,34281356,"research support, non-u.s. gov't"
14940,33663404,case reports
14941,33663404,video-audio media
14942,34592164,journal article
14943,34592164,"research support, non-u.s. gov't"
14944,33307575,journal article
14945,33494587,journal article
14946,33494587,review
14947,34025584,journal article
14948,34025584,"research support, non-u.s. gov't"
14949,32507887,case reports
14950,32507887,letter
14951,32507887,"research support, non-u.s. gov't"
14952,32507887,review
14953,32315207,journal article
14954,32315207,review
14955,33941979,journal article
14956,33743528,journal article
14957,31634317,comparative study
14958,31634317,journal article
14959,33187482,journal article
14960,32949299,journal article
14961,32771076,case reports
14962,32771076,journal article
14963,33711978,journal article
14964,32773516,journal article
14965,32060570,case reports
14966,32060570,journal article
14967,32060570,review
14968,34465342,journal article
14969,33886675,journal article
14970,33886675,"research support, non-u.s. gov't"
14971,33716970,journal article
14972,33716970,"research support, non-u.s. gov't"
14973,33369369,journal article
14974,34144042,journal article
14975,33743535,journal article
14976,33743535,"research support, non-u.s. gov't"
14977,32146747,journal article
14978,31968183,journal article
14979,34232313,comment
14980,34232313,editorial
14981,33511522,journal article
14982,33511522,observational study
14983,33511522,"research support, non-u.s. gov't"
14984,33471697,journal article
14985,33301213,case reports
14986,33229950,journal article
14987,33198476,journal article
14988,33198476,review
14989,32744317,journal article
14990,32744317,"research support, non-u.s. gov't"
14991,33742766,journal article
14992,33742766,"research support, non-u.s. gov't"
14993,33613444,journal article
14994,33613444,"research support, non-u.s. gov't"
14995,33576183,journal article
14996,33343507,journal article
14997,33343507,review
14998,33130479,case reports
14999,33130479,journal article
15000,33130479,review
15001,33000387,journal article
15002,34102155,journal article
15003,34102155,"research support, non-u.s. gov't"
15004,33743525,journal article
15005,32684074,journal article
15006,32684074,review
15007,32133893,journal article
15008,32133893,"research support, non-u.s. gov't"
15009,32133893,review
15010,34243871,journal article
15011,34243871,review
15012,33338584,case reports
15013,33338584,journal article
15014,33338584,"research support, n.i.h., extramural"
15015,33338584,"research support, non-u.s. gov't"
15016,32963693,journal article
15017,32963693,review
15018,34235979,journal article
15019,34235979,"research support, non-u.s. gov't"
15020,32739299,case reports
15021,33534232,journal article
15022,33468490,journal article
15023,33468490,"research support, non-u.s. gov't"
15024,32562184,journal article
15025,32562184,multicenter study
15026,32300961,historical article
15027,32300961,journal article
15028,32300961,portrait
15029,32200816,comment
15030,32200816,editorial
15031,32858059,comparative study
15032,32858059,journal article
15033,32134013,journal article
15034,32134013,observational study
15035,34855075,journal article
15036,33407998,news
15037,32666762,journal article
15038,32666762,review
15039,33349844,case reports
15040,33349844,journal article
15041,33349844,"research support, n.i.h., extramural"
15042,33349844,review
15043,32249902,journal article
15044,32249902,"research support, non-u.s. gov't"
15045,31990745,case reports
15046,31990745,comparative study
15047,31990745,journal article
15048,31865369,journal article
15049,32693696,case reports
15050,32693696,journal article
15051,31756165,case reports
15052,31756165,journal article
15053,32804020,case reports
15054,32804020,journal article
15055,33880967,journal article
15056,33880967,"research support, non-u.s. gov't"
15057,32572525,journal article
15058,32176314,journal article
15059,31990744,journal article
15060,31990744,validation study
15061,31952487,journal article
15062,33972303,case reports
15063,33972303,journal article
15064,33221815,journal article
15065,32769997,journal article
15066,32769997,"research support, n.i.h., extramural"
15067,32769997,"research support, non-u.s. gov't"
15068,32638278,journal article
15069,32462203,journal article
15070,32462203,"research support, non-u.s. gov't"
15071,31997590,journal article
15072,31997590,"research support, non-u.s. gov't"
15073,31997590,review
15074,33050937,journal article
15075,32946823,case reports
15076,32946823,journal article
15077,32874077,journal article
15078,32321476,case reports
15079,32321476,journal article
15080,34229337,journal article
15081,33934590,letter
15082,33768488,journal article
15083,33768488,"research support, non-u.s. gov't"
15084,33381085,journal article
15085,33381085,review
15086,32205652,journal article
15087,33471693,journal article
15088,34079079,journal article
15089,34079079,"research support, non-u.s. gov't"
15090,32447327,journal article
15091,32447327,review
15092,32399893,journal article
15093,32399893,"research support, non-u.s. gov't"
15094,32399893,review
15095,34183558,journal article
15096,34183558,review
15097,33674648,journal article
15098,33674648,observational study
15099,33674648,"research support, non-u.s. gov't"
15100,32297812,journal article
15101,32297812,"research support, non-u.s. gov't"
15102,32090526,journal article
15103,32090526,"research support, non-u.s. gov't"
15104,34939881,case reports
15105,34939881,journal article
15106,33158379,journal article
15107,32969067,journal article
15108,31929534,journal article
15109,33865499,comment
15110,33865499,journal article
15111,33139874,journal article
15112,32759886,case reports
15113,32759886,journal article
15114,32671382,comment
15115,32671382,letter
15116,31915884,case reports
15117,31915884,journal article
15118,32712880,case reports
15119,32712880,journal article
15120,32712880,review
15121,34704876,editorial
15122,34635084,journal article
15123,33543610,letter
15124,33399764,case reports
15125,33399764,journal article
15126,32668458,comment
15127,32668458,letter
15128,34533769,comment
15129,34533769,letter
15130,34212219,journal article
15131,34212219,review
15132,33128233,journal article
15133,33128233,"research support, non-u.s. gov't"
15134,31789788,journal article
15135,33565845,journal article
15136,33565845,review
15137,33121425,case reports
15138,33121425,journal article
15139,32643429,journal article
15140,32643429,"research support, non-u.s. gov't"
15141,32457697,journal article
15142,32457697,"research support, non-u.s. gov't"
15143,34473251,journal article
15144,33663058,comparative study
15145,33663058,journal article
15146,33663058,observational study
15147,32020665,case reports
15148,32020665,journal article
15149,31928169,journal article
15150,34062581,journal article
15151,33930408,journal article
15152,33930408,"research support, n.i.h., extramural"
15153,33930408,"research support, non-u.s. gov't"
15154,33930408,review
15155,33783712,journal article
15156,33783712,meta-analysis
15157,33783712,review
15158,32908802,journal article
15159,32908802,"research support, n.i.h., extramural"
15160,32908802,"research support, non-u.s. gov't"
15161,32738825,journal article
15162,32738825,meta-analysis
15163,32738825,"research support, non-u.s. gov't"
15164,32738825,review
15165,32738825,systematic review
15166,32355235,journal article
15167,32355235,"research support, non-u.s. gov't"
15168,34867951,journal article
15169,34867951,"research support, non-u.s. gov't"
15170,34412613,case reports
15171,34412613,journal article
15172,33051540,journal article
15173,33051540,observational study
15174,33051540,"research support, non-u.s. gov't"
15175,32785703,journal article
15176,32785703,"research support, non-u.s. gov't"
15177,33630776,case reports
15178,33630776,journal article
15179,33603715,journal article
15180,33603715,review
15181,33964007,case reports
15182,33964007,letter
15183,32053844,letter
15184,34602013,journal article
15185,34602013,"research support, non-u.s. gov't"
15186,34051850,journal article
15187,34051850,"research support, non-u.s. gov't"
15188,33710036,journal article
15189,32567442,journal article
15190,32007222,comment
15191,32007222,letter
15192,34117002,case reports
15193,34117002,journal article
15194,32968297,case reports
15195,32968297,journal article
15196,32648002,journal article
15197,32583374,journal article
15198,32567373,journal article
15199,32567373,"research support, non-u.s. gov't"
15200,32567373,review
15201,34116129,journal article
15202,34116129,"research support, non-u.s. gov't"
15203,32402541,comparative study
15204,32402541,journal article
15205,34986938,journal article
15206,34406498,journal article
15207,34344134,journal article
15208,32842335,journal article
15209,32032085,comment
15210,32032085,letter
15211,34747929,case reports
15212,34747929,journal article
15213,34077777,journal article
15214,33261249,journal article
15215,33866536,journal article
15216,34594339,case reports
15217,34114495,case reports
15218,34114495,journal article
15219,33148577,case reports
15220,33148577,journal article
15221,34743468,journal article
15222,33844898,consensus development conference
15223,33844898,journal article
15224,31261163,journal article
15225,31261163,review
15226,32339726,case reports
15227,32339726,journal article
15228,32339726,review
15229,32200817,classical article
15230,32200817,journal article
15231,32200817,randomized controlled trial
15232,32200817,"research support, n.i.h., extramural"
15233,32200817,"research support, non-u.s. gov't"
15234,33882721,comparative study
15235,33882721,journal article
15236,33505575,case reports
15237,32669187,journal article
15238,32053845,letter
15239,31980544,case reports
15240,31980544,journal article
15241,31980544,"research support, non-u.s. gov't"
15242,33743531,journal article
15243,33733445,journal article
15244,33409786,journal article
15245,33081749,journal article
15246,32855872,journal article
15247,32855872,"research support, n.i.h., extramural"
15248,32855872,"research support, non-u.s. gov't"
15249,32779176,case reports
15250,32779176,journal article
15251,32467520,journal article
15252,32546346,journal article
15253,34526052,journal article
15254,33780350,journal article
15255,32799342,journal article
15256,32799342,meta-analysis
15257,32799342,systematic review
15258,33391187,journal article
15259,33391187,"research support, n.i.h., extramural"
15260,33391187,review
15261,33311000,journal article
15262,33311000,review
15263,33025123,journal article
15264,32919017,journal article
15265,32919017,"research support, non-u.s. gov't"
15266,32460318,journal article
15267,32460318,observational study
15268,32460318,"research support, non-u.s. gov't"
15269,32040069,journal article
15270,32040069,"research support, n.i.h., extramural"
15271,32040069,"research support, non-u.s. gov't"
15272,32040069,review
15273,34106438,journal article
15274,34106438,review
15275,34060524,journal article
15276,34060524,review
15277,33817897,journal article
15278,33817897,"research support, non-u.s. gov't"
15279,33599843,journal article
15280,33599843,meta-analysis
15281,33599843,review
15282,33599843,systematic review
15283,33446163,journal article
15284,33351346,controlled clinical trial
15285,33351346,journal article
15286,33351346,observational study
15287,32134770,journal article
15288,32134770,"research support, non-u.s. gov't"
15289,31567914,journal article
15290,34180765,case reports
15291,34180765,journal article
15292,32940167,comparative study
15293,32940167,journal article
15294,32940167,"research support, non-u.s. gov't"
15295,33849364,journal article
