,PMID,Observational_study_characteristics
13156,15747138,follow-up studies
13157,15747138,retrospective
13158,16311659,retrospective studies
13159,16311659,cohort studies
13160,16311659,follow-up studies
13161,16311659,retrospective
13162,16311659,cohort
13163,16232366,case-control studies
13164,16232366,case-control
13172,15257382,prospective studies
13173,15257382,prospective
13174,14693778,retrospective studies
13175,14693778,retrospective
13180,16358088,retrospective studies
13181,16358088,follow-up studies
13182,16358088,retrospective
13183,16358088,prospective
13185,17057811,prospective
13186,15506680,follow-up studies
13187,15329258,follow-up studies
13190,15657592,prospective studies
13191,15657592,prospective
13201,15662824,prospective
13205,15118261,follow-up studies
13206,16276830,follow-up studies
13221,16187913,prospective
13222,16410666,case-control studies
13223,16410666,case-control
13229,15650357,case-control studies
13230,15650357,case-control
13234,15519501,case-control studies
13235,15519501,follow-up studies
13236,15519501,case-control
13237,14693779,cross-sectional studies
13238,14693779,retrospective
13239,14693779,cross-sectional
13240,16117821,follow-up studies
13248,15490073,cross-sectional studies
13249,15490073,cross-sectional
13251,15758191,prospective studies
13252,15758191,prospective
13253,16169802,retrospective studies
13254,16169802,retrospective
13255,16105963,case-control studies
13256,16105963,case-control
13262,15068404,case-control studies
13263,15068404,case-control
13265,15459765,follow-up studies
13268,16398916,case-control studies
13269,16398916,case-control
13270,16124380,case-control studies
13271,16124380,case-control
13281,15924092,retrospective studies
13282,15924092,retrospective
13286,15957803,follow-up studies
13288,16029123,retrospective studies
13289,16029123,retrospective
13290,16029123,cohort
13294,15295670,retrospective studies
13295,15295670,retrospective
13300,15165003,prospective studies
13301,15165003,prospective
13302,15994741,retrospective studies
13303,15994741,follow-up studies
13304,15994741,retrospective
13305,15939390,retrospective studies
13306,15939390,retrospective
13307,15789914,retrospective studies
13308,15789914,retrospective
13309,15774915,prospective studies
13310,15774915,prospective
13314,16191341,retrospective studies
13315,16191341,retrospective
13319,15950284,retrospective studies
13320,15950284,retrospective
13323,15928252,prospective studies
13324,15928252,prospective
13325,15653105,follow-up studies
13326,15476447,follow-up studies
13327,15476447,prospective studies
13328,15476447,prospective
13329,15499286,retrospective studies
13330,15499286,prospective studies
13331,15499286,retrospective
13332,15499286,prospective
13338,15827661,retrospective
13343,16341480,case-control studies
13344,16341480,case-control
13345,15789915,retrospective studies
13346,15789915,retrospective
13348,15789274,follow-up studies
13357,16188847,cross-sectional studies
13358,16188847,cross-sectional
13366,15027890,retrospective
13367,16218041,longitudinal studies
13368,16218041,cross-sectional studies
13369,16218041,longitudinal
13370,16218041,cross-sectional
13372,16356093,follow-up studies
13375,15104566,case-control studies
13376,15104566,case-control
13378,16106256,case-control studies
13379,16106256,case-control
13380,16106256,cohort
13383,16218039,prospective studies
13384,16218039,prospective
13390,15770036,prospective studies
13391,15770036,prospective
13393,15209357,case-control studies
13394,15209357,prospective studies
13395,15209357,case-control
13396,15209357,prospective
13397,16240426,prospective studies
13398,16240426,prospective
13403,15309971,prospective studies
13404,15309971,prospective
13408,16191342,retrospective studies
13409,16191342,retrospective
13411,16043678,follow-up studies
13420,16117697,follow-up studies
13421,16117697,prospective studies
13422,16117697,prospective
13426,15650802,prospective studies
13427,15650802,prospective
13429,16187904,longitudinal studies
13430,16187904,cohort
13431,16187904,longitudinal
13439,15258552,case-control studies
13440,15258552,case-control
13445,15796253,retrospective studies
13446,15796253,retrospective
13450,16356094,retrospective
13452,16087011,retrospective studies
13453,16087011,cohort studies
13454,16087011,follow-up studies
13455,16087011,retrospective
13456,16087011,cohort
13457,15789916,follow-up studies
13458,15181264,longitudinal studies
13459,15181264,longitudinal
13461,15832984,retrospective studies
13462,15832984,retrospective
13465,15070601,retrospective studies
13466,15070601,retrospective
13471,16372227,retrospective studies
13472,16372227,follow-up studies
13473,16372227,retrospective
13479,15489477,prospective studies
13480,15489477,prospective
13484,15068623,case-control studies
13485,15068623,case-control
13486,15558988,follow-up studies
13488,16097639,retrospective studies
13489,16097639,follow-up studies
13490,16097639,retrospective
13491,15838447,follow-up studies
13492,15838447,retrospective
13494,15502134,follow-up studies
13497,15852172,retrospective
13503,15069405,longitudinal studies
13504,15069405,longitudinal
13505,16240428,case-control studies
13506,16240428,prospective studies
13507,16240428,case-control
13508,16240428,prospective
13509,15863589,follow-up studies
13511,15545129,retrospective studies
13512,15545129,retrospective
13516,16140250,case-control studies
13517,16140250,retrospective studies
13518,16140250,case-control
13519,16140250,retrospective
13520,16140250,cohort
13522,15163337,case-control studies
13523,15163337,case-control
13524,16181231,case-control studies
13525,16181231,case-control
13526,16181231,prospective
13529,15152509,retrospective studies
13530,15152509,retrospective
13531,15897640,follow-up studies
13533,15236269,retrospective studies
13534,15236269,retrospective
13540,16343100,case-control studies
13541,16343100,case-control
13542,15521965,retrospective studies
13543,15521965,retrospective
13545,15072702,case-control studies
13546,15072702,case-control
13549,15759147,follow-up studies
13550,15759147,prospective studies
13551,15759147,prospective
13558,15853829,case-control studies
13559,15853829,case-control
13560,15711727,prospective
13563,15029234,case-control studies
13564,15029234,case-control
13569,15876163,longitudinal
13570,15758839,cohort studies
13571,15758839,cohort
13573,15015833,case-control studies
13574,15015833,case-control
13576,15026716,retrospective studies
13577,15026716,retrospective
13581,15562354,retrospective
13582,15562354,prospective
13583,15335196,cohort studies
13584,15335196,cohort
13588,15316579,retrospective studies
13589,15316579,retrospective
13596,15165005,prospective
13601,16419489,cohort studies
13602,16419489,follow-up studies
13603,16419489,cohort
13608,15972039,retrospective studies
13609,15972039,follow-up studies
13610,15972039,retrospective
13612,15121384,cross-sectional studies
13613,15121384,cross-sectional
13620,15205934,case-control studies
13621,15205934,case-control
13627,16123781,prospective studies
13628,16123781,prospective
13630,15690704,case-control studies
13631,15690704,case-control
13632,15316580,prospective
13634,15827108,cross-sectional studies
13635,15827108,longitudinal
13636,15827108,cross-sectional
13638,15638866,case-control studies
13639,15638866,case-control
13649,15785251,retrospective studies
13650,15785251,retrospective
13651,15205676,prospective studies
13652,15205676,prospective
13659,15741259,case-control studies
13660,15741259,case-control
13661,15057268,case-control studies
13662,15057268,case-control
13669,15183812,retrospective studies
13670,15183812,retrospective
13675,15221291,retrospective
13676,16219950,prospective studies
13677,16219950,prospective
13680,16081581,case-control studies
13681,16081581,case-control
13687,15163328,case-control studies
13688,15163328,cross-sectional studies
13689,15163328,case-control
13690,15163328,cohort
13691,15163328,cross-sectional
13692,16372213,retrospective studies
13693,16372213,retrospective
13696,15266145,cohort
13701,16100768,case-control studies
13702,16100768,case-control
13705,16207257,retrospective studies
13706,16207257,follow-up studies
13707,16207257,retrospective
13708,16193675,prospective studies
13709,16193675,prospective
13713,15497451,case-control
13714,15356012,retrospective studies
13715,15356012,follow-up studies
13716,15356012,retrospective
13717,15118273,retrospective
13720,15878077,retrospective studies
13721,15878077,retrospective
13722,15878077,prospective
13723,15794257,case-control studies
13724,15794257,case-control
13725,15729277,retrospective studies
13726,15729277,retrospective
13728,16279844,case-control studies
13729,16279844,case-control
13731,15515393,follow-up studies
13751,14764816,case-control studies
13752,14764816,case-control
13754,16279849,follow-up studies
13755,16279849,prospective
13758,15789921,retrospective studies
13759,15789921,retrospective
13764,16344438,retrospective studies
13765,16344438,retrospective
13768,15896938,retrospective studies
13769,15896938,retrospective
13770,15896938,cross-sectional
13773,16322827,retrospective studies
13774,16322827,retrospective
13775,16278270,cohort studies
13776,16278270,cohort
13779,16038430,retrospective studies
13780,16038430,follow-up studies
13781,16038430,retrospective
13785,15789912,case-control studies
13786,15789912,case-control
13788,15288988,retrospective studies
13789,15288988,follow-up studies
13790,15288988,retrospective
13791,15288988,cohort
13794,15531546,retrospective studies
13795,15531546,retrospective
13797,15148216,case-control studies
13798,15148216,case-control
13799,16118343,prospective studies
13800,16118343,prospective
13802,16402649,retrospective studies
13803,16402649,retrospective
13814,15579800,case-control studies
13815,15579800,case-control
13816,16384851,case-control
13819,16114168,follow-up studies
13828,16410660,case-control studies
13829,16410660,case-control
13830,16313297,case-control studies
13831,16313297,case-control
13832,15998777,follow-up studies
13840,15956353,cohort studies
13841,15956353,cohort
13842,15163332,longitudinal studies
13843,15163332,cohort
13844,15163332,longitudinal
13845,16459459,case-control studies
13846,16459459,case-control
13847,16123786,cohort
13849,14986169,case-control studies
13850,14986169,case-control
13853,15480832,retrospective studies
13854,15480832,retrospective
13858,16042328,retrospective studies
13859,16042328,retrospective
13860,15958760,retrospective studies
13861,15958760,follow-up studies
13862,15958760,retrospective
13866,15942492,retrospective studies
13867,15942492,retrospective
13873,15305532,retrospective studies
13874,15305532,retrospective
13875,15288989,retrospective studies
13876,15288989,retrospective
13878,15147360,case-control studies
13879,15147360,case-control
13880,15006847,prospective studies
13881,15006847,prospective
13882,16225580,case-control studies
13883,16225580,case-control
13884,16040335,case-control
13885,16220440,follow-up studies
13888,15307939,case-control studies
13889,15307939,case-control
13890,15307939,cohort
13891,15242574,retrospective studies
13892,15242574,retrospective
13894,15272925,case-control studies
13895,15272925,cohort studies
13896,15272925,case-control
13897,15272925,cohort
13899,16151665,prospective studies
13900,16151665,prospective
13901,15047741,case-control studies
13902,15047741,case-control
13910,15730420,case-control studies
13911,15730420,case-control
13912,15350189,case-control studies
13913,15350189,case-control
13914,16028759,retrospective studies
13915,16028759,retrospective
13917,15034737,retrospective studies
13918,15034737,follow-up studies
13919,15034737,retrospective
13922,16247581,cohort studies
13923,16247581,cohort
13929,15578802,case-control studies
13930,15578802,case-control
13931,15125885,prospective
13932,15018703,case-control studies
13933,15018703,case-control
13937,15943829,case-control studies
13938,15943829,case-control
13939,15943829,cohort
13944,15640608,case-control studies
13945,15640608,case-control
13950,15789913,follow-up studies
13951,15558498,case-control studies
13952,15558498,case-control
13954,15322802,follow-up studies
13955,15322802,prospective
13956,15104563,prospective studies
13957,15104563,prospective
13966,15473383,cross-sectional studies
13967,15473383,cross-sectional
13976,16025481,case-control studies
13977,16025481,case-control
13978,15320913,case-control studies
13979,15320913,case-control
13982,15730411,prospective studies
13983,15730411,cohort
13984,15730411,prospective
13988,15543642,case-control studies
13989,15543642,case-control
13990,15972694,case-control studies
13991,15972694,case-control
13995,15008838,case-control
13996,16895039,retrospective studies
13997,16895039,retrospective
14003,15552288,retrospective studies
14004,15552288,retrospective
14008,15919631,retrospective studies
14009,15919631,retrospective
14016,16207324,retrospective studies
14017,16207324,follow-up studies
14018,16207324,retrospective
14023,15309917,retrospective studies
14024,15309917,retrospective
14034,16044900,retrospective studies
14035,16044900,retrospective
14036,15515157,case-control studies
14037,15515157,case-control
14039,16229238,case-control studies
14040,16229238,case-control
14042,15759450,retrospective studies
14043,15759450,retrospective
14046,15787628,case-control studies
14047,15787628,case-control
14048,15671771,cross-sectional studies
14049,15671771,cross-sectional
14052,15376465,case-control studies
14053,15376465,cross-sectional studies
14054,15376465,case-control
14055,15376465,cross-sectional
14058,15186615,follow-up studies
14059,15472223,retrospective studies
14060,15472223,retrospective
14068,17191391,follow-up studies
14069,16114767,cross-sectional studies
14070,16114767,cross-sectional
14073,15876161,cohort
14074,15924608,prospective
14078,16468540,retrospective studies
14079,16468540,retrospective
14081,15737318,prospective studies
14082,15737318,prospective
14089,16320681,case-control studies
14090,16320681,case-control
14092,16160724,retrospective studies
14093,16160724,retrospective
14097,15279337,retrospective studies
14098,15279337,retrospective
14099,15230099,retrospective studies
14100,15230099,retrospective
14106,16444393,retrospective studies
14107,16444393,retrospective
14108,16220439,prospective
14113,16024321,follow-up studies
14116,16193707,prospective
14117,15517493,retrospective studies
14118,15517493,retrospective
14119,14976455,retrospective studies
14120,14976455,retrospective
14139,16187914,cohort studies
14140,16187914,prospective studies
14141,16187914,cohort
14142,16187914,prospective
14145,15901998,case-control studies
14146,15901998,case-control
14150,15966508,case-control studies
14151,15966508,longitudinal studies
14152,15966508,cross-sectional studies
14153,15966508,case-control
14154,15966508,longitudinal
14155,15966508,prospective
14156,15966508,cross-sectional
14159,15776867,case-control studies
14160,15776867,case-control
14161,15142361,cohort studies
14162,15142361,cohort
14164,15510888,case-control studies
14165,15510888,case-control
14168,14989435,retrospective studies
14169,14989435,retrospective
14170,14989435,prospective
14176,16125070,case-control studies
14177,16125070,prospective studies
14178,16125070,case-control
14179,16125070,prospective
14180,15356044,retrospective studies
14181,15356044,retrospective
14182,15745922,cohort studies
14183,15745922,cohort
14185,15183530,case-control studies
14186,15183530,case-control
14188,16035668,retrospective studies
14189,16035668,retrospective
14196,14758381,retrospective studies
14197,14758381,retrospective
14199,15144252,prospective studies
14200,15144252,prospective
14203,16080447,case-control studies
14204,16080447,case-control
14206,16444184,follow-up studies
14210,16355851,retrospective studies
14211,16355851,retrospective
14217,15789273,prospective studies
14218,15789273,prospective
14229,15455697,retrospective studies
14230,15455697,retrospective
14237,15208494,prospective
14238,15207896,case-control studies
14239,15207896,cross-sectional studies
14240,15207896,case-control
14241,15207896,cross-sectional
14242,16075922,case-control studies
14243,16075922,follow-up studies
14244,16075922,case-control
14256,15067178,retrospective studies
14257,15067178,retrospective
14260,14985693,cross-sectional studies
14261,14985693,cross-sectional
14273,15068626,retrospective
14274,16372608,retrospective studies
14275,16372608,retrospective
14276,16334533,follow-up studies
14278,16157469,retrospective studies
14279,16157469,follow-up studies
14280,16157469,retrospective
14288,15786618,retrospective studies
14289,15786618,retrospective
14291,16420850,retrospective studies
14292,16420850,retrospective
14293,16365237,prospective studies
14294,16365237,prospective
14296,15902052,case-control studies
14297,15902052,retrospective studies
14298,15902052,case-control
14299,15902052,retrospective
14300,15785221,retrospective
14301,15563078,retrospective studies
14302,15563078,retrospective
14303,15041062,follow-up studies
14305,14692811,cross-sectional
14306,16258502,follow-up studies
14307,16035667,retrospective studies
14308,16035667,follow-up studies
14309,16035667,retrospective
14310,15933521,prospective studies
14311,15933521,prospective
14313,15706144,prospective
14316,15476442,cohort
14318,16144339,retrospective studies
14319,16144339,retrospective
14320,15887864,follow-up studies
14322,15359382,retrospective studies
14323,15359382,retrospective
14325,15754729,cohort studies
14326,15754729,cohort
14328,15307941,prospective studies
14329,15307941,prospective
14330,16613819,retrospective studies
14331,16613819,cohort studies
14332,16613819,follow-up studies
14333,16613819,retrospective
14334,16613819,cohort
14335,16029755,retrospective studies
14336,16029755,retrospective
14341,15310007,case-control studies
14342,15310007,case-control
14345,15472181,cohort studies
14346,15472181,follow-up studies
14347,15472181,prospective studies
14348,15472181,cohort
14349,15472181,prospective
14351,15742091,prospective
14352,16760635,cross-sectional studies
14353,16760635,cross-sectional
14354,15765757,follow-up studies
14355,15765757,retrospective
14356,15078713,cohort studies
14357,15078713,cohort
14358,15795649,cross-sectional
14359,15235690,retrospective studies
14360,15235690,follow-up studies
14361,15235690,cross-sectional studies
14362,15235690,retrospective
14363,15235690,cross-sectional
14370,16008266,retrospective studies
14371,16008266,retrospective
14374,15671773,retrospective studies
14375,15671773,retrospective
14380,16218042,case-control studies
14381,16218042,cohort studies
14382,16218042,follow-up studies
14383,16218042,case-control
14384,16218042,cohort
14385,16218042,longitudinal
14392,15336617,cohort studies
14393,15336617,follow-up studies
14394,15336617,cohort
14395,16117196,retrospective studies
14396,16117196,retrospective
14397,16117196,cohort
14407,23824415,cohort studies
14408,23824415,cohort
14411,23067375,longitudinal studies
14412,23067375,longitudinal
14413,23067375,cross-sectional
14421,23077947,retrospective studies
14422,23077947,retrospective
14427,23136541,retrospective studies
14428,23136541,follow-up studies
14429,23136541,retrospective
14432,22341348,retrospective studies
14433,22341348,retrospective
14434,23582600,longitudinal
14438,24529272,cross-sectional studies
14439,24529272,cross-sectional
14443,22430090,retrospective studies
14444,22430090,prospective studies
14445,22430090,retrospective
14446,22430090,prospective
14455,22395348,retrospective studies
14456,22395348,follow-up studies
14457,22395348,retrospective
14459,22365069,cross-sectional studies
14460,22365069,cross-sectional
14465,23688788,follow-up studies
14466,23688788,prospective
14467,24321191,cross-sectional studies
14468,24321191,cross-sectional
14470,23585205,retrospective studies
14471,23585205,retrospective
14472,23108556,retrospective studies
14473,23108556,follow-up studies
14474,23108556,prospective studies
14475,23108556,retrospective
14476,23108556,prospective
14480,23179319,retrospective studies
14481,23179319,cohort studies
14482,23179319,follow-up studies
14483,23179319,retrospective
14484,23179319,cohort
14486,24227901,prospective
14487,23535966,case-control studies
14488,23535966,case-control
14491,23525289,case-control studies
14492,23525289,cross-sectional studies
14493,23525289,case-control
14494,23525289,cross-sectional
14510,21737999,cross-sectional
14514,23211880,retrospective
14520,23907943,case-control studies
14521,23907943,case-control
14526,24629810,retrospective studies
14527,24629810,follow-up studies
14528,24629810,retrospective
14533,21479880,retrospective
14534,23337148,retrospective studies
14535,23337148,retrospective
14539,23173919,retrospective
14540,23173919,prospective
14543,23253072,cohort
14544,25047208,prospective
14551,21660794,case-control studies
14552,21660794,case-control
14555,23077950,longitudinal
14557,23325061,cross-sectional studies
14558,23325061,cross-sectional
14563,22435912,follow-up studies
14565,23760753,cross-sectional studies
14566,23760753,cross-sectional
14568,23264145,case-control studies
14569,23264145,case-control
14577,23422768,retrospective studies
14578,23422768,retrospective
14580,22302284,retrospective studies
14581,22302284,retrospective
14582,23272626,retrospective studies
14583,23272626,retrospective
14584,23052798,retrospective studies
14585,23052798,prospective studies
14586,23052798,retrospective
14587,23052798,prospective
14588,22956065,prospective studies
14589,22956065,retrospective
14590,22956065,prospective
14593,22434287,retrospective studies
14594,22434287,retrospective
14601,23352847,retrospective
14612,23927856,prospective studies
14613,23927856,prospective
14620,24079157,cross-sectional studies
14621,24079157,cross-sectional
14626,23879004,retrospective studies
14627,23879004,retrospective
14629,23896257,retrospective studies
14630,23896257,follow-up studies
14631,23896257,retrospective
14632,22751750,retrospective studies
14633,22751750,retrospective
14635,24438104,prospective
14640,23544771,follow-up studies
14641,23787511,cohort studies
14642,23787511,cohort
14645,24065067,cross-sectional studies
14646,24065067,cross-sectional
14647,23890962,prospective studies
14648,23890962,prospective
14658,22018025,retrospective studies
14659,22018025,retrospective
14660,22100533,retrospective studies
14661,22100533,retrospective
14662,22044565,retrospective studies
14663,22044565,retrospective
14666,22960778,case-control studies
14667,22960778,case-control
14670,24709784,retrospective studies
14671,24709784,retrospective
14672,23280318,cohort studies
14673,23280318,cohort
14677,24326832,case-control studies
14678,24326832,case-control
14679,23934676,retrospective studies
14680,23934676,follow-up studies
14681,23934676,retrospective
14682,23572084,follow-up studies
14683,23572084,longitudinal studies
14684,23572084,cross-sectional studies
14685,23572084,cohort
14686,23572084,longitudinal
14687,23572084,cross-sectional
14691,22450542,retrospective studies
14692,22450542,follow-up studies
14693,22450542,cross-sectional studies
14694,22450542,retrospective
14695,22450542,cross-sectional
14696,23934357,case-control studies
14697,23934357,case-control
14702,23625193,case-control studies
14703,23625193,case-control
14704,24314405,prospective studies
14705,24314405,prospective
14706,24096846,cohort studies
14707,24096846,cohort
14712,21030157,retrospective studies
14713,21030157,retrospective
14716,23086027,cross-sectional studies
14717,23086027,cross-sectional
14718,23472311,retrospective studies
14719,23472311,follow-up studies
14720,23472311,retrospective
14721,24065229,case-control studies
14722,24065229,retrospective studies
14723,24065229,case-control
14724,24065229,retrospective
14725,23838540,case-control studies
14726,23838540,case-control
14728,22371400,case-control studies
14729,22371400,case-control
14732,23034782,cohort
14733,24211158,case-control studies
14734,24211158,case-control
14741,23255682,cohort studies
14742,23255682,cohort
14749,23591441,cross-sectional studies
14750,23591441,cross-sectional
14759,21435651,prospective studies
14760,21435651,prospective
14765,23846785,retrospective studies
14766,23846785,follow-up studies
14767,23846785,retrospective
14769,21866332,case-control studies
14770,21866332,case-control
14772,22136213,case-control studies
14773,22136213,case-control
14774,23564217,retrospective studies
14775,23564217,retrospective
14778,23650151,cross-sectional studies
14779,23650151,cross-sectional
14783,24327568,retrospective studies
14784,24327568,cohort studies
14785,24327568,retrospective
14786,24327568,cohort
14788,23047567,retrospective studies
14789,23047567,retrospective
14790,22053869,cross-sectional studies
14791,22053869,cross-sectional
14793,23690528,retrospective studies
14794,23690528,retrospective
14797,23414115,retrospective studies
14798,23414115,cross-sectional studies
14799,23414115,retrospective
14800,23414115,cohort
14801,23414115,cross-sectional
14802,23317391,longitudinal studies
14803,23317391,cross-sectional studies
14804,23317391,longitudinal
14805,23317391,cross-sectional
14806,23428758,cross-sectional studies
14807,23428758,cross-sectional
14809,23206325,cross-sectional studies
14810,23206325,cross-sectional
14812,22833451,prospective
14817,23679109,cross-sectional studies
14818,23679109,cross-sectional
14820,22543510,retrospective studies
14821,22543510,retrospective
14822,22434524,prospective studies
14823,22434524,prospective
14825,23149095,prospective studies
14826,23149095,prospective
14828,22893523,follow-up studies
14829,22287186,retrospective studies
14830,22287186,cohort studies
14831,22287186,retrospective
14832,22287186,cohort
14833,22484994,retrospective
14834,24144816,retrospective studies
14835,24144816,retrospective
14837,23571818,cross-sectional studies
14838,23571818,cross-sectional
14839,22752757,cross-sectional studies
14840,22752757,cross-sectional
14848,23397523,retrospective studies
14849,23397523,retrospective
14851,22168782,retrospective studies
14852,22168782,retrospective
14853,21940277,case-control studies
14854,21940277,cross-sectional studies
14855,21940277,case-control
14856,21940277,cross-sectional
14859,24081791,retrospective studies
14860,24081791,cohort studies
14861,24081791,retrospective
14862,24081791,cohort
14864,22960961,retrospective studies
14865,22960961,retrospective
14866,22960961,prospective
14868,22234657,retrospective studies
14869,22234657,cohort studies
14870,22234657,prospective studies
14871,22234657,retrospective
14872,22234657,cohort
14873,22234657,prospective
14874,21854403,retrospective studies
14875,21854403,cohort studies
14876,21854403,follow-up studies
14877,21854403,retrospective
14878,21854403,cohort
14880,22614185,retrospective studies
14881,22614185,retrospective
14882,23167286,cross-sectional studies
14883,23167286,cross-sectional
14885,22361675,prospective studies
14886,22361675,prospective
14888,22686474,case-control studies
14889,22686474,retrospective studies
14890,22686474,cross-sectional studies
14891,22686474,case-control
14892,22686474,retrospective
14893,22686474,cohort
14894,22686474,cross-sectional
14895,23103151,retrospective studies
14896,23103151,retrospective
14897,23512384,retrospective studies
14898,23512384,longitudinal studies
14899,23512384,retrospective
14900,23512384,longitudinal
14904,23715351,cross-sectional studies
14905,23715351,cross-sectional
14917,22473756,case-control studies
14918,22473756,case-control
14919,22977269,cohort studies
14920,22977269,prospective studies
14921,22977269,cohort
14922,22977269,prospective
14929,22394073,case-control studies
14930,22394073,retrospective studies
14931,22394073,follow-up studies
14932,22394073,case-control
14933,22394073,retrospective
14936,23838927,follow-up studies
14937,23838927,prospective studies
14938,23838927,prospective
14945,22409203,cross-sectional
14946,23551059,prospective studies
14947,23551059,prospective
14950,24222113,follow-up studies
14955,23201328,prospective studies
14956,23201328,prospective
14957,22505274,follow-up studies
14958,22475452,cross-sectional studies
14959,22475452,cross-sectional
14960,21751218,retrospective studies
14961,21751218,follow-up studies
14962,21751218,retrospective
14963,22987562,follow-up studies
14965,22518849,prospective
14967,22739546,follow-up studies
14968,22739546,prospective studies
14969,22739546,prospective
14970,22382464,cohort studies
14971,22382464,cohort
14975,23388425,case-control studies
14976,23388425,retrospective studies
14977,23388425,case-control
14978,23388425,retrospective
14980,23525051,prospective studies
14981,23525051,prospective
14982,22508673,follow-up studies
14985,24317723,retrospective studies
14986,24317723,retrospective
14987,22947351,cross-sectional studies
14988,22947351,cross-sectional
14989,22422173,case-control studies
14990,22422173,follow-up studies
14991,22422173,prospective studies
14992,22422173,case-control
14993,22422173,prospective
14995,23408569,cohort studies
14996,23408569,longitudinal studies
14997,23408569,cohort
14998,23408569,longitudinal
14999,23408569,prospective
15000,23076684,retrospective studies
15001,23076684,retrospective
15003,22169963,longitudinal studies
15004,22169963,longitudinal
15005,23619962,follow-up studies
15006,23619962,longitudinal studies
15007,23619962,longitudinal
15008,22246921,retrospective studies
15009,22246921,retrospective
15012,24204772,retrospective studies
15013,24204772,longitudinal studies
15014,24204772,retrospective
15015,24204772,longitudinal
15018,22420618,cross-sectional studies
15019,22420618,cross-sectional
15020,23721189,case-control studies
15021,23721189,case-control
15022,23395200,case-control studies
15023,23395200,prospective studies
15024,23395200,case-control
15025,23395200,prospective
15029,24203649,prospective
15030,22314228,cross-sectional studies
15031,22314228,cross-sectional
15034,23336663,retrospective studies
15035,23336663,cohort studies
15036,23336663,retrospective
15037,23336663,cohort
15038,22763296,retrospective studies
15039,22763296,retrospective
15048,23473435,prospective studies
15049,23473435,prospective
15057,23488141,retrospective
15060,23388537,case-control studies
15061,23388537,case-control
15073,23076189,case-control studies
15074,23076189,case-control
15075,23613294,prospective studies
15076,23613294,prospective
15078,21920644,follow-up studies
15083,23364912,case-control studies
15084,23364912,case-control
15113,23987484,retrospective studies
15114,23987484,retrospective
15126,23088654,retrospective studies
15127,23088654,retrospective
15133,23918194,retrospective studies
15134,23918194,retrospective
15138,24392554,retrospective studies
15139,24392554,retrospective
15141,23647402,retrospective studies
15142,23647402,follow-up studies
15143,23647402,retrospective
15144,23647402,longitudinal
15146,22619157,retrospective studies
15147,22619157,follow-up studies
15148,22619157,retrospective
15149,22492024,retrospective studies
15150,22492024,retrospective
15153,22713684,retrospective studies
15154,22713684,follow-up studies
15155,22713684,retrospective
15164,22448136,retrospective studies
15165,22448136,retrospective
15167,23612233,retrospective studies
15168,23612233,retrospective
15170,22806174,retrospective studies
15171,22806174,retrospective
15172,22806174,cohort
15173,22806174,prospective
15175,22971989,retrospective studies
15176,22971989,follow-up studies
15177,22971989,retrospective
15182,23980907,retrospective studies
15183,23980907,retrospective
15186,22730704,retrospective
15188,23812805,prospective studies
15189,23812805,prospective
15190,21890099,retrospective studies
15191,21890099,cohort studies
15192,21890099,follow-up studies
15193,21890099,retrospective
15194,21890099,cohort
15206,22354558,retrospective studies
15207,22354558,retrospective
15208,22511831,retrospective studies
15209,22511831,retrospective
15210,22287122,follow-up studies
15211,24206067,retrospective studies
15212,24206067,retrospective
15215,24351357,retrospective studies
15216,24351357,retrospective
15217,23216901,prospective studies
15218,23216901,prospective
15219,22402975,follow-up studies
15220,24377989,case-control studies
15221,24377989,case-control
15223,24070662,follow-up studies
15224,24070662,prospective studies
15225,24070662,cohort
15226,24070662,prospective
15227,23964447,retrospective studies
15228,23964447,retrospective
15232,23229839,retrospective studies
15233,23229839,retrospective
15234,22760806,retrospective studies
15235,22760806,retrospective
15240,23662589,retrospective studies
15241,23662589,retrospective
15242,23544060,case-control studies
15243,23544060,case-control
15244,22447813,prospective studies
15245,22447813,prospective
15247,24704350,retrospective studies
15248,24704350,retrospective
15252,24007404,prospective studies
15253,24007404,cross-sectional studies
15254,24007404,prospective
15255,24007404,cross-sectional
15257,22991383,retrospective studies
15258,22991383,retrospective
15259,22991383,cross-sectional
15262,22569239,retrospective studies
15263,22569239,cohort studies
15264,22569239,retrospective
15265,22569239,cohort
15267,23518423,follow-up studies
15268,23518423,retrospective
15271,22090273,cohort studies
15272,22090273,cohort
15273,24453927,case-control studies
15274,24453927,case-control
15275,24453927,prospective
15278,21825964,follow-up studies
15279,21825964,prospective studies
15280,21825964,prospective
15281,22935459,retrospective
15284,23446296,retrospective studies
15285,23446296,retrospective
15287,22031515,follow-up studies
15288,23352720,retrospective
15290,23477773,retrospective studies
15291,23477773,follow-up studies
15292,23477773,retrospective
15293,24215623,follow-up studies
15294,24215623,prospective studies
15295,24215623,prospective
15297,23549634,prospective studies
15298,23549634,prospective
15305,23188693,case-control studies
15306,23188693,case-control
15307,23188693,prospective
15311,22241019,cross-sectional studies
15312,22241019,cross-sectional
15317,23341266,prospective studies
15318,23341266,prospective
15320,22983830,cross-sectional studies
15321,22983830,cross-sectional
15322,21870171,retrospective studies
15323,21870171,follow-up studies
15324,21870171,retrospective
15326,23865291,retrospective studies
15327,23865291,retrospective
15328,22443227,retrospective studies
15329,22443227,retrospective
15330,22443227,cohort
15332,23387769,prospective
15339,23299807,retrospective studies
15340,23299807,retrospective
15341,22953990,retrospective studies
15342,22953990,retrospective
